query_id,book,question_text,ground_truth_answer,source_page_numbers,,,,,,
1,Life's amazing secret,where do the hosts live?,"But one only felt like
that at sea level, not in the cloud-bound apartment of Hariprasad and Lalita Iyer
situated in a high-rise in elegant Worli. This area of Mumbai is what Fifth
Avenue is to New York, or Park Lane is to London. Indeed, if there were a
version of the board game Monopoly for Mumbai, you would be paying a hefty
price if you landed on Worli’s distinguished towers: Palais Royale or Omkar
1973. And, here I was, a monk with hardly a rupee to my name, enjoying the
cooling breeze from the Arabian Sea on the twenty-eighth-floor home of my
gracious hosts.","12, 13",,,,,,Simple factual
2,Life's amazing secret,what was harry's educational background?,"Hariprasad took no notice of my comment and continued, ‘I remember the
stress of both getting into IIT Bombay and then performing well there. It was
worth it though because the Harvard MBA programme accepted me
immediately, given that I secured a gold medal at IIT.’",14,,,,,,Definition-based
3,Life's amazing secret,which car did harry own?,"So where did you buy this car?’ I asked trying to change the subject to
something more palatable.
Harry appreciated that I was trying to find common ground and followed suit.
He still didn’t feel comfortable sharing with me whatever it was he was thinking.
‘Well, I needed to buy a car after I sold the Mercedes. My wife and I were taking
cabs everywhere for the first few weeks. One day when we were visiting some
friends in Juhu, the cab stopped at a traffic light directly outside the Lexus
showroom. That was when I saw her—sparkling from within the polished glass.
It was love at first sight!’ He cheered up at that memory.",18,,,,,,Concept explanation
4,Life's amazing secret,why harry was not happy with his life?,"‘It started at IIT Bombay. I never wanted to go there in the first place. I never
wanted to study engineering, but my parents wouldn’t take no for an answer.
They insisted that “engineering is where the money is. If you get into IIT, life
will be yours.” If I ever questioned them, they would make me feel guilty by
bringing up how much they did for me and how I shouldn’t let them down.’ He
paused, as he thought the traffic was moving. It was a false alarm; we were still
stuck. He continued, ‘I think my parents were living their ambitions through me.
My father was fascinated by the updating software in the textile equipment at his
factory. He wanted me to be one of those superheroes at his factory who could
come in and solve any technical problem.’
‘You may not be a software engineer, but you seem to be doing well now.
Aren’t you?’ I pondered. ‘You went to Harvard!’
‘Harvard was me rebelling!’ Harry snapped. He took a deep breath, ‘I had to
get away from my parents and siblings. I wanted to live my own life, so I
escaped to America. I know it seems ludicrous, but I didn’t think about the
Harvard MBA programme thoroughly. I just took it without thinking, just to get
away. I had a full scholarship. After years of studying the wrong thing, I wanted
to live my own life.’
‘So was Harvard the solution?’
‘Unfortunately, no. I completed the course, but it wasn’t my calling. One great
thing was that I did meet Lalita, or Lily, as her friends would call her there. Both
of us being South Indians, we instantly connected. Forget this car, that was
surely love at first sight! I was also fascinated that she studied medicine and
wanted to be a paediatrician. Maybe I was slightly jealous of her at times
because it was there that I realized I wanted to do medicine too. But it was too
late. I didn’t have the time or the money to study medicine. So I kept it all in,
and we returned to India for our marriage.’ It was taking a lot out of him to
reveal all of this, but I did not want to interrupt.
‘Our marriage is amazing. Well, it started amazingly. Lalita was training to be
a doctor for children, and I was headhunted for a job at my current consulting
firm. They promised me a six-figure salary, not including my bonus. I’ve come
up the ranks rather quickly. But at what cost, I constantly ask myself. The stress
and long hours of both our jobs has weakened our relationship. We have little
time for each other, let alone time to raise children. The sweet words Lalita
briefly spoke to me at our home are rare. She has no idea how cutting her harsh
words are to me, which leads to fights and, well, you know, marriage problems.
It got so heated the other day that she yelled she wanted to get a divorce,’ he
said, looking out of the window again. The sea, which had earlier given us its
cooling breeze in his apartment, was now shimmering and sweltering. ‘How can
love that started so pure evaporate so quickly? Funnily, despite all this, I’m at a
stage where I do not like my work, and I don’t look forward to being at home.
But with my status, who will believe that I’m not happy?’","20,21",,,,,,Narrative/contextual
5,Life's amazing secret,how should we train our mind to be positive?,"when we think negatively of people, we should immediately counteract that
energy by contemplating three positive qualities they have. I did make some
awkward lingering eye contact with many of the monks in that hall as I gawked
at them, leaving them with confused expressions. But my intention was correct; I
was training the mind to see the good.",30,,,,,,Multi-sentence reasoning
6,Life's amazing secret,What does the author say about gratitude and how is it beneficial?,"Gratitude is not a feeling; it is a state of mind that can be developed, and it
allows us to tap into a reservoir of unlimited positive energy. Being grateful
happens in two steps. The first is to realize that there is good in the world and
that good has fallen upon us. The second is to know that goodness is coming
from something other than us, an external reality is giving the gifts of grace to
our very own reality. This could be our family, our friends, nature and even God.
We have so much to be grateful for!

Statistically, we always have more to be grateful for than ungrateful.
Ingratitude means to forget the blessings in our life, to ignore the kind things
people have done for us. It is not just positivity we feel when we embrace
gratitude. Better sleep, the ability to express more kindness, feeling more alive
and even having a stronger immune system are all benefits of being thankful.","31,32",,,,,,
7,Life's amazing secret,Explain the key to happiness and positivity?,"‘So gratitude is the key to remaining positive and happy?’ Harry confirmed.
‘Certainly,’ I replied. ‘It’s not the happy people who are grateful; it’s the
grateful people who are happy. Does that make sense?’",32,,,,,,
8,Life's amazing secret,How to practice gratitude?,"There is one evidence-based thing we can do. The only price is commitment
and consistency. This is writing a gratitude log daily, which is based on three
principles of gratitude: recognize, remember and reciprocate.

We should firstly
recognize what good has been done to us to say “thank you”. This is easy to do
in the moment; like when someone holds the door for us or buys us a hot drink.
The next stage is to remember what others have done for us to mean that thank
you. Contemplation is by far one of the best methods to develop gratitude.
Spending time with our own mind in silence, without any gadgets to stimulate us
and contemplating on who has helped us internalizes our gratitude.

Finally, we should reciprocate. We should live a thank you. Saying and
meaning a thank you moves to the next level through our actions. Beyond words
and feelings, to truly give back is the basis of living a life of long-lasting
gratitude.",41,,,,,,
9,Life's amazing secret,what is the story of success of Whatsapp?,"he story of WhatsApp’s success for the benefit of
those readers who are not familiar with how it came about.
WhatsApp, as we all may know, is a free messaging and calling application
that anyone can download, anywhere in the world except China. It was founded
by Brian Acton, a software engineer who graduated from Stanford. Acton
worked at Apple first and then Yahoo for around a dozen years, until in 2007, he
decided to travel to South America for a year with his friend and colleague Jan
Koum. On their return, both of them applied to Facebook and Twitter for jobs
but both were rejected. Acton tweeted in May 2009, ‘Got denied by Twitter HQ.
That’s okay. Would have been a long commute.’ A few months later, in August
2009, he followed it up with another tweet, ‘Facebook turned me down. It was a
great opportunity to connect with some fantastic people. Looking forward to
life’s next adventure.’
And his next adventure changed the world. In the same year that he got
rejected, on his birthday, WhatsApp was incorporated in Silicon Valley,
California. The app grew exponentially, its success unparalleled. So much so that
in 2014, Facebook decided to buy it, for a staggering $19 billion. By December
2017, WhatsApp had 1.5 billion active users!",44,,,,,,
10,Life's amazing secret,"explain the ""why worry?"" concept.","That is why I think a clip of my lecture on the
concept of ‘Why Worry’ was shared on Instagram by Sean Combs (better known
as P. Diddy), one of the most renowned rap artists in the world.
It’s impossible to stop a clip once it’s gone viral on the internet. When we
have a problem beyond our control, we have to turn to our spiritual strength and
ask, ‘Why Worry?’ Whether or not we can do something about it, our response
should not be anxiety. Learning to detach ourselves from situations that are
outside our control is an imperative skill to learn for personal growth. This is not
to say I favour laziness—we should do everything in our power to try and rectify
the situation, but after that, we have to take our attention away from the
unpleasant circumstance
whatever situations may come our way, analyse: Is this in my
control? Regardless of the answer that follows, the reply should always be, ‘Why
Worry!",48,,,,,,
